,Ratio,Amount,LAST
A058470,0.0032078152753108346,18.0,148500.0
A042700,0.0021385435168738897,121.0,14700.0
A035420,0.06522557726465364,195.0,278000.0
A011780,0.006873889875666074,36.0,158000.0
A230360,0.0007637655417406749,40.0,15850.0
A064760,0.0021385435168738897,13.0,132100.0
A004000,0.0030550621669626996,31.0,81700.0
A108320,0.0029023090586145646,19.0,125400.0
A112040,0.0038188277087033745,40.0,78300.0
A051910,0.056060390763765545,84.0,556000.0
A081660,0.0025968028419182947,70.0,30650.0
A067160,0.0018330373001776196,14.0,108000.0
A000210,0.0019857904085257548,24.0,67800.0
A006800,0.006721136767317939,726.0,7690.0
A005930,0.07,887.0,65500.0
A011070,0.013136767317939608,28.0,390000.0
A039030,0.0018330373001776196,15.0,100900.0
A178920,0.0021385435168738897,35.0,50500.0
A028260,0.031161634103019538,222.0,116500.0
A030000,0.004124333925399645,138.0,24800.0
A175330,0.0024440497335701597,230.0,8810.0
A112610,0.0035133214920071046,50.0,58100.0
A195870,0.0016802841918294848,21.0,67100.0
A200130,0.0013747779751332148,37.0,30850.0
A018260,0.015886323268206038,92.0,144000.0
A069260,0.0013747779751332148,47.0,24300.0
A144510,0.0013747779751332148,19.0,60300.0
A005300,0.0025968028419182947,11.0,196500.0
A084370,0.0012220248667850798,26.0,39250.0
A009150,0.015428063943161633,89.0,144000.0
A036570,0.013900532859680284,26.0,441500.0
A014680,0.004124333925399645,14.0,251500.0
A071050,0.005499111900532859,66.0,69200.0
A000660,0.07,559.0,104000.0
A039490,0.0035133214920071046,32.0,92100.0
A005440,0.0012220248667850798,183.0,5558.0
A051600,0.0024440497335701597,54.0,37250.0
A005290,0.0029023090586145646,61.0,39450.0
A016360,0.004888099467140319,106.0,38350.0
A111770,0.0029023090586145646,52.0,46650.0
A214450,0.0010692717584369449,11.0,77900.0
A014830,0.0015275310834813498,9.0,143902.0
A051900,0.015580817051509769,18.0,700000.0
A012750,0.003666074600355239,45.0,67300.0
A001120,0.0022912966252220247,47.0,40300.0
A003550,0.01802486678507993,186.0,80300.0
A056190,0.0021385435168738897,43.0,41500.0
A098460,0.0015275310834813498,79.0,16100.0
A046890,0.0010692717584369449,70.0,12700.0
A052690,0.0038188277087033745,45.0,71200.0
A066570,0.02367673179396092,194.0,101500.0
A017800,0.0019857904085257548,49.0,33750.0
A138040,0.005804618117229129,156.0,30800.0
A086900,0.0012220248667850798,9.0,118190.0
A105630,0.0012220248667850798,47.0,21750.0
A007070,0.0039715808170515095,123.0,26800.0
A031430,0.0018330373001776196,43.0,35100.0
A010130,0.015580817051509769,22.0,577000.0
A011170,0.009928952042628773,43.0,193835.0
A014820,0.0022912966252220247,35.0,54400.0
A012510,0.0015275310834813498,35.0,36000.0
A005830,0.006568383658969804,85.0,64500.0
A033780,0.016802841918294845,162.0,85900.0
A005850,0.0019857904085257548,54.0,30600.0
A139480,0.0045825932504440494,33.0,115500.0
A035720,0.0519360568383659,526.0,81900.0
A086280,0.010998223801065719,89.0,103040.0
A103140,0.0012220248667850798,33.0,30850.0
A018670,0.0018330373001776196,11.0,137000.0
A000100,0.006110124333925399,96.0,53100.0
A017670,0.01756660746003552,260.0,56200.0
A021240,0.0071793960923623446,87.0,68500.0
A030200,0.013900532859680284,309.0,37350.0
A000270,0.04811722912966252,481.0,83000.0
A079550,0.0025968028419182947,26.0,82200.0
A032830,0.01863587921847247,238.0,65100.0
A161390,0.006415630550621669,146.0,36600.0
A005940,0.004888099467140319,394.0,10300.0
A001040,0.0035133214920071046,35.0,84200.0
A047050,0.0042770870337477795,148.0,23950.0
A005490,0.03574422735346359,103.0,287000.0
A004490,0.0012220248667850798,17.0,61300.0
A006280,0.0030550621669626996,14.0,179500.0
A097950,0.008401420959147423,18.0,388000.0
A018880,0.008706927175843693,634.0,11400.0
A034730,0.026120781527531084,88.0,246500.0
A009240,0.0024440497335701597,28.0,72600.0
A078340,0.0015275310834813498,15.0,87000.0
A086790,0.019705150976909412,350.0,46750.0
A078930,0.006262877442273535,110.0,47300.0
A023530,0.0042770870337477795,34.0,105000.0
A011790,0.00824866785079929,45.0,153500.0
A000880,0.0030550621669626996,87.0,29050.0
A032640,0.008554174067495559,522.0,13600.0
A004170,0.0035133214920071046,11.0,254000.0
A010780,0.0021385435168738897,37.0,48400.0
A010120,0.0022912966252220247,35.0,53700.0
A012330,0.029328596802841913,112.0,216500.0
A069960,0.0025968028419182947,27.0,79300.0
A105560,0.03391119005328597,490.0,57400.0
