,Ratio,Amount,LAST
A058470,0.002644132048649502,16.0,133100.0
A064760,0.0014689622492497234,11.0,101600.0
A081660,0.0029379244984994468,60.0,38650.0
A011070,0.009107565945348286,24.0,302000.0
A001120,0.0014689622492497234,37.0,31150.0
A042700,0.003084820723424419,98.0,25000.0
A214150,0.002203443373874585,64.0,27300.0
A108320,0.0023503395987995576,17.0,112400.0
A222800,0.0011751697993997788,31.0,30450.0
A011780,0.004994471647449059,30.0,133700.0
A001430,0.0011751697993997788,36.0,25850.0
A195870,0.0010282735744748064,16.0,49700.0
A166090,0.0011751697993997788,20.0,45800.0
A000990,0.003525509398199336,46.0,61500.0
A039030,0.0014689622492497234,13.0,92000.0
A111770,0.002644132048649502,44.0,48150.0
A282330,0.0041130942978992256,18.0,186600.0
A140860,0.0014689622492497234,7.0,167200.0
A067160,0.0011751697993997788,11.0,83000.0
A051910,0.0669846785657874,71.0,746000.0
A000270,0.04186542410361712,406.0,82000.0
A005930,0.07,783.0,71000.0
A003230,0.0011751697993997788,8.0,119000.0
A095340,0.0011751697993997788,18.0,51200.0
A006110,0.0016158584741746958,15.0,87300.0
A006360,0.0023503395987995576,88.0,21250.0
A014680,0.003378613173274364,12.0,232500.0
A004000,0.0020565471489496128,27.0,61400.0
A009150,0.014102037592797344,76.0,147900.0
A005290,0.0024972358237245296,53.0,37450.0
A175330,0.002203443373874585,204.0,8600.0
A178920,0.001322066024324751,31.0,33950.0
A005830,0.007051018796398672,72.0,78200.0
A079550,0.002203443373874585,22.0,80400.0
A030000,0.002644132048649502,113.0,18520.0
A035720,0.032464065708418886,449.0,57400.0
A271560,0.006463433896698783,40.0,127300.0
A086280,0.008079292370873478,76.0,84083.0
A214450,0.0016158584741746958,10.0,123500.0
A004170,0.0024972358237245296,10.0,196500.0
A101490,0.0014689622492497234,22.0,54100.0
A018260,0.012339282893697677,78.0,126000.0
A071050,0.003966198072974253,56.0,55900.0
A016360,0.004259990522824198,91.0,37050.0
A010130,0.012339282893697677,20.0,488000.0
A028260,0.026294424261570047,187.0,111600.0
A017800,0.0020565471489496128,39.0,42200.0
A003550,0.0180682356657716,159.0,90200.0
A010780,0.0014689622492497234,30.0,38650.0
A005490,0.041718527878692145,85.0,388500.0
A001450,0.0038193018480492807,91.0,33250.0
A047050,0.00749170747117359,179.0,33350.0
A006260,0.003525509398199336,32.0,86400.0
A112610,0.004553782972674143,43.0,84400.0
A066570,0.026147528036645076,165.0,125700.0
A036570,0.00881377349549834,22.0,315000.0
A033780,0.014542726267572264,139.0,83000.0
A161000,0.0011751697993997788,51.0,18410.0
A103140,0.0014689622492497234,28.0,41350.0
A098460,0.0011751697993997788,67.0,13960.0
A078930,0.004553782972674143,93.0,38900.0
A161390,0.005582056547148949,125.0,35400.0
A039490,0.0032317169483493916,27.0,95000.0
A005850,0.0020565471489496128,47.0,34850.0
A138930,0.0027910282735744744,324.0,6850.0
A121600,0.0020565471489496128,11.0,145300.0
A012750,0.002644132048649502,39.0,53900.0
A006400,0.06434054651713789,70.0,735000.0
A030200,0.010135839519823091,262.0,30700.0
A008930,0.0032317169483493916,70.0,36450.0
A021240,0.004553782972674143,75.0,48100.0
A086790,0.01571789606697204,298.0,41900.0
A097950,0.006169641446848838,15.0,324000.0
A014820,0.0014689622492497234,29.0,40900.0
A004020,0.005728952772073921,135.0,33700.0
A006280,0.0019096509240246404,12.0,125600.0
A001040,0.0032317169483493916,30.0,85800.0
A051600,0.0020565471489496128,47.0,34900.0
A128940,0.004847575422524088,13.0,299245.0
A069260,0.0011751697993997788,40.0,23100.0
A000880,0.0029379244984994468,75.0,31000.0
A005940,0.0041130942978992256,336.0,9730.0
A022100,0.0024972358237245296,156.0,12710.0
A032640,0.006169641446848838,437.0,11210.0
A005380,0.05288264097299004,214.0,196400.0
A000660,0.10003632917390616,736.0,108000.0
A035420,0.04274680145316695,166.0,205000.0
A139480,0.0029379244984994468,28.0,83500.0
A012330,0.026294424261570047,95.0,219500.0
A120110,0.0016158584741746958,29.0,44750.0
A139130,0.0014689622492497234,164.0,7120.0
A034730,0.01630548096667193,74.0,174800.0
A032830,0.017333754541146735,202.0,68300.0
A105560,0.024825462012320325,408.0,48400.0
A051900,0.010723424419522981,16.0,539000.0
A056190,0.001762754699099668,35.0,39700.0
A052690,0.003378613173274364,38.0,70300.0
A007070,0.003378613173274364,108.0,24850.0
A000100,0.0058758489969988935,80.0,58094.0
A000720,0.005582056547148949,114.0,39050.0
