,Ratio,Amount,LAST
A058470,0.005925607026003098,20.0,260000.0
A298020,0.002562424659893232,6.0,389000.0
A033100,0.001761666953676597,22.0,72200.0
A000100,0.009128637850869639,108.0,75800.0
A042700,0.023061821939039086,130.0,159300.0
A081660,0.003523333907353194,81.0,39150.0
A002710,0.002402273118649905,35.0,61000.0
A214150,0.004644394696056482,86.0,48050.0
A011070,0.008167728603409677,32.0,229500.0
A035900,0.0032030308248665396,48.0,59200.0
A084370,0.001761666953676597,32.0,50000.0
A001430,0.0011210607887032888,48.0,21100.0
A001120,0.001761666953676597,54.0,29350.0
A000270,0.07302910280695711,536.0,122000.0
A108320,0.001761666953676597,22.0,70300.0
A000990,0.0028827277423798857,60.0,42700.0
A039030,0.003523333907353194,16.0,193100.0
A067160,0.0019218184949199237,16.0,110200.0
A003230,0.006726364732219733,10.0,590000.0
A140860,0.001761666953676597,9.0,175700.0
A111770,0.002402273118649905,61.0,35200.0
A185750,0.0020819700361632506,18.0,102500.0
A064760,0.0022421215774065775,16.0,124700.0
A095340,0.0022421215774065775,29.0,70300.0
A011780,0.006245910108489752,37.0,151000.0
A079550,0.0056053039435164445,30.0,169500.0
A214450,0.0019218184949199237,13.0,127500.0
A022100,0.009288789392112964,205.0,40500.0
A192080,0.0014413638711899429,29.0,43900.0
A005830,0.011210607887032889,95.0,105100.0
A051910,0.03955743068710176,94.0,375000.0
A282330,0.0030428792836232127,24.0,115200.0
A101490,0.001281212329946616,28.0,41500.0
A005850,0.0027225762011365584,62.0,39000.0
A271560,0.0057654554847597714,53.0,97200.0
A052690,0.0038436369898398473,50.0,68400.0
A183300,0.0014413638711899429,15.0,87900.0
A030000,0.0032030308248665396,156.0,18420.0
A105630,0.001281212329946616,55.0,20900.0
A047810,0.007527122438436369,131.0,51500.0
A319660,0.0014413638711899429,39.0,32850.0
A086280,0.010249698639572927,100.0,92036.0
A004000,0.001761666953676597,33.0,47300.0
A175330,0.0038436369898398473,256.0,13430.0
A166090,0.0016015154124332698,27.0,52900.0
A008930,0.0032030308248665396,92.0,31250.0
A005290,0.0032030308248665396,68.0,42300.0
A128940,0.005445152402273117,17.0,281500.0
A014680,0.0030428792836232127,15.0,182200.0
A005180,0.0016015154124332698,13.0,109000.0
A001450,0.004324091613569829,119.0,32600.0
A086450,0.001281212329946616,62.0,18500.0
A103140,0.002402273118649905,37.0,57400.0
A035420,0.04131909764077836,217.0,170200.0
A065350,0.0028827277423798857,38.0,68300.0
A005380,0.0848803168589633,280.0,271000.0
A018260,0.01793697261925262,103.0,155600.0
A161390,0.008327880144653002,166.0,44850.0
A033780,0.016815911830549334,174.0,86500.0
A112610,0.0030428792836232127,55.0,49350.0
A047050,0.014093335629412776,235.0,53700.0
A009150,0.016655760289306005,100.0,149700.0
A051600,0.002402273118649905,60.0,36000.0
A121600,0.002562424659893232,16.0,141500.0
A004490,0.0022421215774065775,19.0,108000.0
A004170,0.002402273118649905,13.0,160600.0
A021240,0.006085758567246425,100.0,54500.0
A010130,0.01537454795935939,28.0,498000.0
A006400,0.0403581883933184,92.0,392500.0
A004370,0.00480454623729981,8.0,533000.0
A028260,0.035713793697261915,238.0,134400.0
A006110,0.0020819700361632506,19.0,96300.0
A010120,0.008808334768382983,40.0,194800.0
A078930,0.006085758567246425,126.0,43250.0
A012330,0.03074909591871878,126.0,219000.0
A030200,0.013933184088169447,339.0,36800.0
A032640,0.006406061649733079,590.0,9720.0
A005930,0.07,833.0,75200.0
A071050,0.0056053039435164445,75.0,67200.0
A036570,0.006085758567246425,29.0,187000.0
A039490,0.00480454623729981,34.0,127400.0
A098460,0.001281212329946616,87.0,13170.0
A138930,0.0038436369898398473,426.0,8080.0
A014820,0.0020819700361632506,39.0,48000.0
A016360,0.00480454623729981,120.0,35800.0
A006260,0.007046667814706388,43.0,146600.0
A005300,0.001761666953676597,12.0,132600.0
A294870,0.0016015154124332698,84.0,16970.0
A086790,0.026104701222662296,391.0,59700.0
A281820,0.001281212329946616,28.0,41500.0
A003550,0.018737730325469257,210.0,79800.0
A000720,0.005445152402273117,148.0,32900.0
A105560,0.04740485620802479,541.0,78400.0
A005490,0.048045462372998095,113.0,380000.0
A139130,0.0020819700361632506,235.0,7930.0
A097950,0.008167728603409677,20.0,362500.0
A004020,0.0057654554847597714,180.0,28600.0
A005940,0.0057654554847597714,433.0,11900.0
A017670,0.01649560874806268,289.0,51100.0
A229640,0.0014413638711899429,39.0,33050.0
