ticker,price,change,ret,cap
A280360,120500,-5800,-4.59,1136866
A298050,236500,-5000,-2.07,1059508
A336260,17670,520,3.03,1157274
A001740,5180,-100,-1.89,1146220
A003620,4560,125,2.82,895603
A300720,14030,60,0.43,971739
A120110,31400,150,0.48,864099
A004800,50400,0,0,843717
A000210,38650,-1500,-3.74,809945
A285130,48450,-350,-0.72,835946
A001430,19260,-200,-1.03,690704
A001680,20700,400,1.97,717214
A003030,178200,5500,3.18,738043
A005250,16650,430,2.65,783020
A005420,21750,850,4.07,835379
A006110,50400,1300,2.65,741481
A008730,29950,450,1.53,742760
A009900,13600,210,1.57,713594
A016380,6790,30,0.44,679060
A032350,9430,-120,-1.26,718530
A039130,50900,2900,6.04,816395
A069260,19400,-230,-1.17,793045
A093370,6180,0,0,662838
A114090,11540,140,1.23,713814
A145720,68400,-600,-0.87,757108
A271940,21300,100,0.47,773471
A000670,407000,12000,3.04,749710
A006650,99300,-6400,-6.05,645450
A178920,19420,-290,-1.47,570294
A105630,15390,150,0.98,615600
